cross-validation	config	run	label	precision	recall	f1	support	algo	dataset1	dataset2	task
False	1	1	1	0.43005	0.34801	0.38470	477	CRF	ner.txt.horus	2015.conll.freebase.horus	NED
False	1	1	LOC	0.29630	0.15190	0.20084	158	CRF_PA	ner.txt.horus	2015.conll.freebase.horus	NER
False	1	1	ORG	0.04878	0.04082	0.04444	49	CRF_PA	ner.txt.horus	2015.conll.freebase.horus	NER
False	1	1	PER	0.34831	0.45926	0.39617	270	CRF_PA	ner.txt.horus	2015.conll.freebase.horus	NER
False	1	1	0	0.98231	0.98225	0.98228	15946	CRF_PA	ner.txt.horus	2015.conll.freebase.horus	NED
False	1	1	1	0.40795	0.40881	0.40838	477	CRF_PA	ner.txt.horus	2015.conll.freebase.horus	NED
False	1	1	LOC	0.38791	0.17928	0.24522	1110	CRF	ner.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
False	1	1	ORG	0.12583	0.02097	0.03595	906	CRF	ner.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
False	1	1	PER	0.28277	0.43473	0.34266	789	CRF	ner.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
False	1	1	0	0.96937	0.98443	0.97684	59737	CRF	ner.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
False	1	1	1	0.50453	0.33761	0.40453	2805	CRF	ner.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
False	1	1	LOC	0.42130	0.16396	0.23606	1110	CRF_PA	ner.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
False	1	1	ORG	0.21053	0.03091	0.05390	906	CRF_PA	ner.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
False	1	1	PER	0.25340	0.49556	0.33533	789	CRF_PA	ner.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
False	1	1	0	0.97028	0.98160	0.97591	59737	CRF_PA	ner.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
False	1	1	1	0.47865	0.35971	0.41075	2805	CRF_PA	ner.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	1	LOC	0.51613	0.23529	0.32323	68	CRF	ner.txt.horus	ner.txt.horus	NER
True	1	1	ORG	0.38462	0.17857	0.24390	28	CRF	ner.txt.horus	ner.txt.horus	NER
True	1	1	PER	0.57292	0.37162	0.45082	148	CRF	ner.txt.horus	ner.txt.horus	NER
True	1	1	0	0.98437	0.99538	0.98984	9302	CRF	ner.txt.horus	ner.txt.horus	NED
True	1	1	1	0.69286	0.39754	0.50521	244	CRF	ner.txt.horus	ner.txt.horus	NED
True	1	1	LOC	0.51429	0.26471	0.34951	68	CRF_PA	ner.txt.horus	ner.txt.horus	NER
True	1	1	ORG	0.31250	0.17857	0.22727	28	CRF_PA	ner.txt.horus	ner.txt.horus	NER
True	1	1	PER	0.55208	0.35811	0.43443	148	CRF_PA	ner.txt.horus	ner.txt.horus	NER
True	1	1	0	0.98447	0.99473	0.98957	9302	CRF_PA	ner.txt.horus	ner.txt.horus	NED
True	1	1	1	0.66667	0.40164	0.50128	244	CRF_PA	ner.txt.horus	ner.txt.horus	NED
True	1	2	LOC	0.25490	0.24074	0.24762	54	CRF	ner.txt.horus	ner.txt.horus	NER
True	1	2	ORG	0.36364	0.10526	0.16327	38	CRF	ner.txt.horus	ner.txt.horus	NER
True	1	2	PER	0.58182	0.51613	0.54701	124	CRF	ner.txt.horus	ner.txt.horus	NER
True	1	2	0	0.98703	0.99171	0.98936	9283	CRF	ner.txt.horus	ner.txt.horus	NED
True	1	2	1	0.55233	0.43981	0.48969	216	CRF	ner.txt.horus	ner.txt.horus	NED
True	1	2	LOC	0.37838	0.25926	0.30769	54	CRF_PA	ner.txt.horus	ner.txt.horus	NER
True	1	2	ORG	0.30000	0.07895	0.12500	38	CRF_PA	ner.txt.horus	ner.txt.horus	NER
True	1	2	PER	0.60952	0.51613	0.55895	124	CRF_PA	ner.txt.horus	ner.txt.horus	NER
True	1	2	0	0.98652	0.99332	0.98991	9283	CRF_PA	ner.txt.horus	ner.txt.horus	NED
True	1	2	1	0.59211	0.41667	0.48913	216	CRF_PA	ner.txt.horus	ner.txt.horus	NED
True	1	3	LOC	0.31667	0.30645	0.31148	62	CRF	ner.txt.horus	ner.txt.horus	NER
True	1	3	ORG	0.28571	0.14634	0.19355	41	CRF	ner.txt.horus	ner.txt.horus	NER
True	1	3	PER	0.47959	0.36154	0.41228	130	CRF	ner.txt.horus	ner.txt.horus	NER
True	1	3	0	0.98412	0.99002	0.98706	9016	CRF	ner.txt.horus	ner.txt.horus	NED
True	1	3	1	0.49721	0.38197	0.43204	233	CRF	ner.txt.horus	ner.txt.horus	NED
True	1	3	LOC	0.43396	0.37097	0.40000	62	CRF_PA	ner.txt.horus	ner.txt.horus	NER
