cross-validation	config	run	label	precision	recall	f1	support	algo	dataset1	dataset2	task
True	1	3	average	0.48567	0.45479	0.46966	0	DT	wnut17.train	wnut17.train	NER
True	1	3	0	0.98563	0.98746	0.98655	12365	DT	wnut17.train	wnut17.train	NED
True	1	3	1	0.56091	0.52660	0.54321	376	DT	wnut17.train	wnut17.train	NED
False	1	1	LOC	0.63084	0.85443	0.72581	158	RF50	wnut17.train	wnut15.dev	NER
False	1	1	ORG	0.90476	0.77551	0.83516	49	RF50	wnut17.train	wnut15.dev	NER
False	1	1	PER	0.82686	0.85714	0.84173	273	RF50	wnut17.train	wnut15.dev	NER
False	1	0	average	0.77029	0.84792	0.80290	0	RF50	wnut17.train	wnut15.dev	NER
False	1	1	0	0.99597	0.99229	0.99413	15954	RF50	wnut17.train	wnut15.dev	NED
False	1	1	1	0.77180	0.86667	0.81649	480	RF50	wnut17.train	wnut15.dev	NED
False	1	1	LOC	0.57551	0.89241	0.69975	158	DT	wnut17.train	wnut15.dev	NER
False	1	1	ORG	0.82353	0.85714	0.84000	49	DT	wnut17.train	wnut15.dev	NER
False	1	1	PER	0.80690	0.85714	0.83126	273	DT	wnut17.train	wnut15.dev	NER
False	1	0	average	0.73243	0.86875	0.78886	0	DT	wnut17.train	wnut15.dev	NER
False	1	1	0	0.99666	0.99003	0.99333	15954	DT	wnut17.train	wnut15.dev	NED
False	1	1	1	0.72867	0.88958	0.80113	480	DT	wnut17.train	wnut15.dev	NED
False	1	1	LOC	0.36153	0.40811	0.38341	1110	RF50	wnut17.train	wnut16.test	NER
False	1	1	ORG	0.39295	0.15969	0.22709	908	RF50	wnut17.train	wnut16.test	NER
False	1	1	PER	0.25546	0.42966	0.32042	789	RF50	wnut17.train	wnut16.test	NER
False	1	0	average	0.34188	0.33381	0.31514	0	RF50	wnut17.train	wnut16.test	NER
False	1	1	0	0.97513	0.97282	0.97397	59813	RF50	wnut17.train	wnut16.test	NED
False	1	1	1	0.44863	0.47132	0.45969	2807	RF50	wnut17.train	wnut16.test	NED
False	1	1	LOC	0.33706	0.43423	0.37953	1110	DT	wnut17.train	wnut16.test	NER
False	1	1	ORG	0.35322	0.16300	0.22306	908	DT	wnut17.train	wnut16.test	NER
False	1	1	PER	0.24759	0.42332	0.31244	789	DT	wnut17.train	wnut16.test	NER
False	1	0	average	0.31714	0.34343	0.31006	0	DT	wnut17.train	wnut16.test	NER
False	1	1	0	0.97599	0.96961	0.97278	59813	DT	wnut17.train	wnut16.test	NED
False	1	1	1	0.43152	0.49163	0.45962	2807	DT	wnut17.train	wnut16.test	NED
False	1	1	LOC	0.15865	0.13525	0.14602	244	RF50	wnut17.train	wnut17.test	NER
False	1	1	ORG	0.07353	0.05682	0.06410	88	RF50	wnut17.train	wnut17.test	NER
False	1	1	PER	0.46526	0.27451	0.34529	561	RF50	wnut17.train	wnut17.test	NER
False	1	0	average	0.34288	0.21501	0.26313	0	RF50	wnut17.train	wnut17.test	NER
False	1	1	0	0.97418	0.98655	0.98032	22524	RF50	wnut17.train	wnut17.test	NED
False	1	1	1	0.50082	0.34043	0.40533	893	RF50	wnut17.train	wnut17.test	NED
False	1	1	LOC	0.18056	0.15984	0.16957	244	DT	wnut17.train	wnut17.test	NER
False	1	1	ORG	0.05618	0.05682	0.05650	88	DT	wnut17.train	wnut17.test	NER
False	1	1	PER	0.46341	0.30481	0.36774	561	DT	wnut17.train	wnut17.test	NER
False	1	0	average	0.34600	0.24076	0.28292	0	DT	wnut17.train	wnut17.test	NER
False	1	1	0	0.97520	0.98468	0.97992	22524	DT	wnut17.train	wnut17.test	NED
False	1	1	1	0.48813	0.36842	0.41991	893	DT	wnut17.train	wnut17.test	NED
True	2	1	LOC	0.42308	0.25882	0.32117	85	RF50	ritter.train	ritter.train	NER
True	2	1	ORG	0.53846	0.45652	0.49412	46	RF50	ritter.train	ritter.train	NER
True	2	1	PER	0.57576	0.56296	0.56929	135	RF50	ritter.train	ritter.train	NER
True	2	1	average	0.52052	0.44737	0.47700	0	RF50	ritter.train	ritter.train	NER
True	2	1	0	0.98667	0.99129	0.98898	9186	RF50	ritter.train	ritter.train	NED
True	2	1	1	0.64126	0.53759	0.58487	266	RF50	ritter.train	ritter.train	NED
True	2	1	LOC	0.39683	0.29412	0.33784	85	DT	ritter.train	ritter.train	NER
True	2	1	ORG	0.52083	0.54348	0.53191	46	DT	ritter.train	ritter.train	NER
True	2	1	PER	0.56028	0.58519	0.57246	135	DT	ritter.train	ritter.train	NER
True	2	1	average	0.50123	0.48496	0.49048	0	DT	ritter.train	ritter.train	NER
