algo:DT; ds1:emerging.test.annotated.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:False; config:2; run:1; label:ORG; p:0.11429; r:0.00883; f1:0.01639; support:906 
algo:DT; ds1:emerging.test.annotated.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:False; config:2; run:1; label:PER; p:0.35703; r:0.28644; f1:0.31786; support:789 
algo:DT; ds1:emerging.test.annotated.horus; ds2:emerging.test.annotated.horus; cross-validation:True; config:2; run:1; label:LOC; p:0.66667; r:0.12000; f1:0.20339; support:50 
algo:DT; ds1:emerging.test.annotated.horus; ds2:emerging.test.annotated.horus; cross-validation:True; config:2; run:1; label:ORG; p:0.50000; r:0.05263; f1:0.09524; support:19 
algo:DT; ds1:emerging.test.annotated.horus; ds2:emerging.test.annotated.horus; cross-validation:True; config:2; run:1; label:PER; p:0.75510; r:0.32174; f1:0.45122; support:115 
algo:DT; ds1:emerging.test.annotated.horus; ds2:emerging.test.annotated.horus; cross-validation:True; config:2; run:2; label:LOC; p:0.30000; r:0.15000; f1:0.20000; support:40 
algo:DT; ds1:emerging.test.annotated.horus; ds2:emerging.test.annotated.horus; cross-validation:True; config:2; run:2; label:ORG; p:1.00000; r:0.06250; f1:0.11765; support:16 
algo:DT; ds1:emerging.test.annotated.horus; ds2:emerging.test.annotated.horus; cross-validation:True; config:2; run:2; label:PER; p:0.61702; r:0.27358; f1:0.37908; support:106 
algo:DT; ds1:emerging.test.annotated.horus; ds2:emerging.test.annotated.horus; cross-validation:True; config:2; run:3; label:LOC; p:0.43750; r:0.12727; f1:0.19718; support:55 
algo:DT; ds1:emerging.test.annotated.horus; ds2:emerging.test.annotated.horus; cross-validation:True; config:2; run:3; label:ORG; p:0.33333; r:0.05556; f1:0.09524; support:18 
algo:DT; ds1:emerging.test.annotated.horus; ds2:emerging.test.annotated.horus; cross-validation:True; config:2; run:3; label:PER; p:0.59259; r:0.30769; f1:0.40506; support:104 
algo:DT; ds1:emerging.test.annotated.horus; ds2:emerging.test.annotated.horus; cross-validation:True; config:2; run:4; label:LOC; p:0.29412; r:0.09091; f1:0.13889; support:55 
algo:DT; ds1:emerging.test.annotated.horus; ds2:emerging.test.annotated.horus; cross-validation:True; config:2; run:4; label:ORG; p:0.00000; r:0.00000; f1:0.00000; support:10 
algo:DT; ds1:emerging.test.annotated.horus; ds2:emerging.test.annotated.horus; cross-validation:True; config:2; run:4; label:PER; p:0.70588; r:0.29752; f1:0.41860; support:121 
algo:DT; ds1:emerging.test.annotated.horus; ds2:emerging.test.annotated.horus; cross-validation:True; config:2; run:5; label:LOC; p:0.47059; r:0.17778; f1:0.25806; support:45 
algo:DT; ds1:emerging.test.annotated.horus; ds2:emerging.test.annotated.horus; cross-validation:True; config:2; run:5; label:ORG; p:0.00000; r:0.00000; f1:0.00000; support:10 
algo:DT; ds1:emerging.test.annotated.horus; ds2:emerging.test.annotated.horus; cross-validation:True; config:2; run:5; label:PER; p:0.57778; r:0.26000; f1:0.35862; support:100 
algo:DT; ds1:emerging.test.annotated.horus; ds2:ner.txt.horus; cross-validation:False; config:2; run:1; label:LOC; p:0.11607; r:0.03963; f1:0.05909; support:328 
algo:DT; ds1:emerging.test.annotated.horus; ds2:ner.txt.horus; cross-validation:False; config:2; run:1; label:ORG; p:0.00000; r:0.00000; f1:0.00000; support:205 
algo:DT; ds1:emerging.test.annotated.horus; ds2:ner.txt.horus; cross-validation:False; config:2; run:1; label:PER; p:0.46844; r:0.21076; f1:0.29072; support:669 
algo:DT; ds1:emerging.test.annotated.horus; ds2:2015.conll.freebase.horus; cross-validation:False; config:2; run:1; label:LOC; p:0.08197; r:0.03165; f1:0.04566; support:158 
algo:DT; ds1:emerging.test.annotated.horus; ds2:2015.conll.freebase.horus; cross-validation:False; config:2; run:1; label:ORG; p:0.00000; r:0.00000; f1:0.00000; support:49 
algo:DT; ds1:emerging.test.annotated.horus; ds2:2015.conll.freebase.horus; cross-validation:False; config:2; run:1; label:PER; p:0.31148; r:0.21111; f1:0.25166; support:270 
algo:DT; ds1:ner.txt.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:False; config:2; run:1; label:LOC; p:0.45490; r:0.10450; f1:0.16996; support:1110 
algo:DT; ds1:ner.txt.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:False; config:2; run:1; label:ORG; p:0.42763; r:0.07174; f1:0.12287; support:906 
algo:DT; ds1:ner.txt.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:False; config:2; run:1; label:PER; p:0.36316; r:0.17490; f1:0.23610; support:789 
algo:DT; ds1:ner.txt.horus; ds2:emerging.test.annotated.horus; cross-validation:False; config:2; run:1; label:LOC; p:0.27419; r:0.06967; f1:0.11111; support:244 
algo:DT; ds1:ner.txt.horus; ds2:emerging.test.annotated.horus; cross-validation:False; config:2; run:1; label:ORG; p:0.00000; r:0.00000; f1:0.00000; support:87 
algo:DT; ds1:ner.txt.horus; ds2:emerging.test.annotated.horus; cross-validation:False; config:2; run:1; label:PER; p:0.68103; r:0.14082; f1:0.23338; support:561 
algo:DT; ds1:ner.txt.horus; ds2:ner.txt.horus; cross-validation:True; config:2; run:1; label:LOC; p:0.28571; r:0.07059; f1:0.11321; support:85 
algo:DT; ds1:ner.txt.horus; ds2:ner.txt.horus; cross-validation:True; config:2; run:1; label:ORG; p:0.70370; r:0.42222; f1:0.52778; support:45 
algo:DT; ds1:ner.txt.horus; ds2:ner.txt.horus; cross-validation:True; config:2; run:1; label:PER; p:0.60606; r:0.44444; f1:0.51282; support:135 
